"","PUMACE10","change_car","change_bus","change_subway","change_taxicab","change_motorcycle","change_walked","change_worked_at_home","change_bicycle"
"1","04602",0.130509263164405,-0.980024626098959,NA,NA,NA,-0.991012258150533,-0.986322319558926,-1
"2","04603",0.0372954879014311,-0.978077332387371,-1,NA,1.23385566429481,-0.980666903157148,-0.955844271018092,-0.995885065626109
"3","04604",0.0256333275661215,-0.97567372582027,NA,-0.998286564561947,NA,-0.986585604136293,-0.974133136939564,-0.996843671561481
