"","PUMACE10","change_car","change_bus","change_subway","change_taxicab","change_motorcycle","change_walked","change_worked_at_home","change_bicycle","coef"
"1","04602",13.0509263164405,-98.0024626098959,NA,NA,NA,-99.1012258150533,-0.986322319558926,-100,-0.239473268832312
"2","04603",3.72954879014311,-97.8077332387371,-1,NA,1.23385566429481,-98.0666903157148,-0.955844271018092,-99.5885065626109,-0.334203132944096
"3","04604",2.56333275661215,-97.567372582027,NA,-0.998286564561947,NA,-98.6585604136293,-0.974133136939564,-99.6843671561481,-0.299503593050084
